xi,theta,dtheta_dxi,rho_over_rhoc,dimensionless_mass
1.202136641648493764e+00,8.171041868890084325e-01,-2.326666240598945778e-01,4.029474960235918668e-01,3.362341013026872161e-01
1.210097745235569899e+00,8.152514197285947173e-01,-2.327859151557915562e-01,3.988522414632753588e-01,3.408769245918180646e-01
1.218058848822646034e+00,8.133977579658384638e-01,-2.328913971544860628e-01,3.947874783011757760e-01,3.455333641954651536e-01
1.226019952409722169e+00,8.115433108252108063e-01,-2.329832486756107934e-01,3.907533057912496721e-01,3.502029278904753018e-01
1.233981055996798304e+00,8.096881861103490952e-01,-2.330616480297922621e-01,3.867498126997129249e-01,3.548851264732376665e-01
1.241942159583874439e+00,8.078324902067222091e-01,-2.331267731675775445e-01,3.827770775350196053e-01,3.595794738768679499e-01
1.249903263170950574e+00,8.059763280847593858e-01,-2.331788016296485189e-01,3.788351687771494003e-01,3.642854872837383295e-01
1.257864366758026708e+00,8.041198033032480597e-01,-2.332179104988279517e-01,3.749241451056635754e-01,3.690026872341930497e-01
1.265825470345102843e+00,8.022630180131822275e-01,-2.332442763533225938e-01,3.710440556268063683e-01,3.737305977306820126e-01
1.273786573932178978e+00,8.004060729619529857e-01,-2.332580752214364894e-01,3.671949400993063106e-01,3.784687463377370831e-01
1.281747677519254891e+00,7.985490674979005554e-01,-2.332594825376941849e-01,3.633768291588162502e-01,3.832166642777767862e-01
1.289708781106331026e+00,7.966920995752152512e-01,-2.332486731003574065e-01,3.595897445408651194e-01,3.879738865227942979e-01
1.297669884693407161e+00,7.948352657591727377e-01,-2.332258210303211898e-01,3.558336993021974370e-01,3.927399518819885138e-01
1.305630988280483296e+00,7.929786612316913619e-01,-2.331910997313773604e-01,3.521086980403875244e-01,3.975144030854050881e-01
1.313592091867559430e+00,7.911223797971953520e-01,-2.331446818518317088e-01,3.484147371116128600e-01,4.022967868636538880e-01
1.321553195454635565e+00,7.892665138887731135e-01,-2.330867392474621214e-01,3.447518048464874862e-01,4.070866540237735864e-01
1.329514299041711700e+00,7.874111545746137475e-01,-2.330174429458050089e-01,3.411198817638509406e-01,4.118835595213169443e-01
1.337475402628787835e+00,7.855563915647116868e-01,-2.329369631117537143e-01,3.375189407824257248e-01,4.166870625287265595e-01
1.345436506215863970e+00,7.837023132179297136e-01,-2.328454690143240691e-01,3.339489474304548899e-01,4.214967264998400465e-01
1.353397609802940105e+00,7.818490065492551544e-01,-2.327431289947618220e-01,3.304098600529371543e-01,4.263121192309278218e-01
1.361358713390016240e+00,7.799965572372797862e-01,-2.326301104359357885e-01,3.269016300164700461e-01,4.311328129182758206e-01
1.369319816977092374e+00,7.781450496319552990e-01,-2.325065797328906281e-01,3.234242019117526401e-01,4.359583842121849129e-01
1.377280920564168287e+00,7.762945667625660295e-01,-2.323727022646215057e-01,3.199775137535896263e-01,4.407884142676036787e-01
1.385242024151244422e+00,7.744451903459261821e-01,-2.322286423670273381e-01,3.165614971783712872e-01,4.456224887914199129e-01
1.393203127738320557e+00,7.725970007947935425e-01,-2.320745633070248060e-01,3.131760776389770906e-01,4.504601980864825217e-01
1.401164231325396692e+00,7.707500772264832545e-01,-2.319106272578040639e-01,3.098211745970403386e-01,4.553011370924279766e-01
1.409125334912472827e+00,7.689044974716745529e-01,-2.317369952752078854e-01,3.064967017125321824e-01,4.601449054233824332e-01
1.417086438499548962e+00,7.670603380833953544e-01,-2.315538272752157845e-01,3.032025670306130460e-01,4.649911074026145674e-01
1.425047542086625096e+00,7.652176743461733821e-01,-2.313612820125142133e-01,2.999386731657102123e-01,4.698393520942126811e-01
1.433008645673701231e+00,7.633765802853439419e-01,-2.311595170601350169e-01,2.967049174827876556e-01,4.746892533318630147e-01
1.440969749260777366e+00,7.615371286765241221e-01,-2.309486887901237018e-01,2.935011922758108405e-01,4.795404297447623532e-01
1.448930852847853501e+00,7.596993910553324625e-01,-2.307289523551521171e-01,2.903273849435302201e-01,4.843925047805986428e-01
1.456891956434929636e+00,7.578634377270999645e-01,-2.305004616712523768e-01,2.871833781621314641e-01,4.892451067260754627e-01
1.464853060022005771e+00,7.560293377767935974e-01,-2.302633694014616095e-01,2.840690500551373843e-01,4.940978687246626588e-01
1.472814163609081906e+00,7.541971590790501612e-01,-2.300178269404311304e-01,2.809842743603782056e-01,4.989504287917932990e-01
1.480775267196157818e+00,7.523669683083302751e-01,-2.297639843999706444e-01,2.779289205940496110e-01,5.038024298275558532e-01
1.488736370783233953e+00,7.505388309491876075e-01,-2.295019905955041073e-01,2.749028542118517326e-01,5.086535196269462711e-01
1.496697474370310088e+00,7.487128113066455759e-01,-2.292319930334177636e-01,2.719059367672030381e-01,5.135033508877469011e-01
1.504658577957386223e+00,7.468889725166695248e-01,-2.289541378992809295e-01,2.689380260665151789e-01,5.183515812161026970e-01
1.512619681544462358e+00,7.450673765567285001e-01,-2.286685700469200666e-01,2.659989763215311886e-01,5.231978731298635443e-01
1.520580785131538493e+00,7.432480842564342938e-01,-2.283754329883265211e-01,2.630886382987183691e-01,5.280418940597598754e-01
1.528541888718614628e+00,7.414311553082509887e-01,-2.280748688843786953e-01,2.602068594657211964e-01,5.328833163484782975e-01
1.536502992305690762e+00,7.396166482782640106e-01,-2.277670185363586675e-01,2.573534841348727453e-01,5.377218172477037372e-01
1.544464095892766897e+00,7.378046206170693067e-01,-2.274520213782085798e-01,2.545283536038792094e-01,5.425570789131088922e-01
1.552425199479843032e+00,7.359951286707083762e-01,-2.271300154695503060e-01,2.517313062935764290e-01,5.473887883974518642e-01
1.560386303066919167e+00,7.341882276915960848e-01,-2.268011374894670085e-01,2.489621778827019460e-01,5.522166376418921052e-01
1.568347406653995302e+00,7.323839718495454010e-01,-2.264655227309670671e-01,2.462208014398672706e-01,5.570403234654417446e-01
1.576308510241071437e+00,7.305824142428176682e-01,-2.261233050961482249e-01,2.435070075526446776e-01,5.618595475527002892e-01
1.584269613828147349e+00,7.287836069092138436e-01,-2.257746170920332807e-01,2.408206244538182161e-01,5.666740164399090007e-01
1.592230717415223484e+00,7.269876008371962683e-01,-2.254195898270589804e-01,2.381614781448110618e-01,5.714834414993869016e-01
