xi,theta,dtheta_dxi,rho_over_rhoc,dimensionless_mass
1.080279797449362311e+00,8.484937462142592146e-01,-2.199687246135249019e-01,4.397878516508853530e-01,2.567044784560882920e-01
1.090282295573893556e+00,8.462919235444329447e-01,-2.202816363734056426e-01,4.341111906563136502e-01,2.618521920071500420e-01
1.100284793698424579e+00,8.440870961134170347e-01,-2.205695918041119252e-01,4.284856731827744181e-01,2.670274209983944935e-01
1.110287291822955824e+00,8.418795115946501317e-01,-2.208329812979592244e-01,4.229117019166800939e-01,2.722291790756973251e-01
1.120289789947486847e+00,8.396694137556701687e-01,-2.210721954014778778e-01,4.173896427798067243e-01,2.774564849566293900e-01
1.130292288072018092e+00,8.374570424577436611e-01,-2.212876245829754895e-01,4.119198258869233853e-01,2.827083629320367719e-01
1.140294786196549115e+00,8.352426336578706589e-01,-2.214796590074986637e-01,4.065025465040304486e-01,2.879838433460297220e-01
1.150297284321080360e+00,8.330264194128390587e-01,-2.216486883204603631e-01,4.011380660052508151e-01,2.932819630562685242e-01
1.160299782445611383e+00,8.308086278854769358e-01,-2.217951014385309561e-01,3.958266128276683449e-01,2.986017658731119906e-01
1.170302280570142628e+00,8.285894833529412473e-01,-2.219192863483153977e-01,3.905683834226920115e-01,3.039423029786234576e-01
1.180304778694673651e+00,8.263692062170104879e-01,-2.220216299126058779e-01,3.853635432029102192e-01,3.093026333255409210e-01
1.190307276819204896e+00,8.241480130162873730e-01,-2.221025176841444071e-01,3.802122274833072968e-01,3.146818240165320524e-01
1.200309774943735919e+00,8.219261164402158482e-01,-2.221623337268306131e-01,3.751145424157788510e-01,3.200789506640813187e-01
1.210312273068267164e+00,8.197037253448177241e-01,-2.222014604443109387e-01,3.700705659159456151e-01,3.254930977313929552e-01
1.220314771192798187e+00,8.174810447700548988e-01,-2.222202784158842093e-01,3.650803485813323146e-01,3.309233588547143001e-01
1.230317269317329432e+00,8.152582759588724581e-01,-2.222191662394178979e-01,3.601439146003652114e-01,3.363688371471554861e-01
1.240319767441860455e+00,8.130356163779359768e-01,-2.221985003810154624e-01,3.552612626515838645e-01,3.418286454841255595e-01
1.250322265566391700e+00,8.108132597395445451e-01,-2.221586550320756026e-01,3.504323667913488149e-01,3.473019067719081976e-01
1.260324763690922723e+00,8.085913960250905586e-01,-2.221000019728311126e-01,3.456571773303679374e-01,3.527877541985915411e-01
1.270327261815453967e+00,8.063702115098176915e-01,-2.220229104425889277e-01,3.409356216980181653e-01,3.582853314682603596e-01
1.280329759939984990e+00,8.041498887888728353e-01,-2.219277470164631727e-01,3.362676052940350435e-01,3.637937930187306601e-01
1.290332258064516013e+00,8.019306068045689573e-01,-2.218148754884797791e-01,3.316530123270146624e-01,3.693123042232493991e-01
1.300334756189047258e+00,7.997125408747745023e-01,-2.216846567609323526e-01,3.270917066392160510e-01,3.748400415765921201e-01
1.310337254313578281e+00,7.974958627223480701e-01,-2.215374487398681647e-01,3.225835325172091705e-01,3.803761928660031599e-01
1.320339752438109526e+00,7.952807405055316581e-01,-2.213736062365840029e-01,3.181283154879435138e-01,3.859199573274331163e-01
1.330342250562640549e+00,7.930673388493781895e-01,-2.211934808748738102e-01,3.137258631001818010e-01,3.914705457872914018e-01
1.340344748687171794e+00,7.908558188782406351e-01,-2.209974210038179177e-01,3.093759656911590494e-01,3.970271807900004890e-01
1.350347246811702817e+00,7.886463382488020368e-01,-2.207857716163937889e-01,3.050783971372916792e-01,4.025890967125133613e-01
1.360349744936234062e+00,7.864390511840529951e-01,-2.205588742733117780e-01,3.008329155896489193e-01,4.081555398654328481e-01
1.370352243060765085e+00,7.842341085079705953e-01,-2.203170670321313585e-01,2.966392641936182462e-01,4.137257685814884622e-01
1.380354741185296330e+00,7.820316576809029918e-01,-2.200606843814687519e-01,2.924971717927278836e-01,4.192990532917138524e-01
1.390357239309827353e+00,7.798318428355970333e-01,-2.197900571801599812e-01,2.884063536164866437e-01,4.248746765897459809e-01
1.400359737434358598e+00,7.776348048138010949e-01,-2.195055126012439295e-01,2.843665119521224804e-01,4.304519332846767909e-01
1.410362235558889621e+00,7.754406812033769469e-01,-2.192073740806295412e-01,2.803773368001321042e-01,4.360301304428766955e-01
1.420364733683420866e+00,7.732496063758567129e-01,-2.188959612703115787e-01,2.764385065135880892e-01,4.416085874192122174e-01
